paper_id,year,title,venue,url,authors,author_ids,n_authors,venue_rank
2020.aacl-main.2,2020,Can Monolingual Pretrained Models Help Cross-Lingual Classification?,aacl,https://aclanthology.org/2020.aacl-main.2/,Zewen Chi; Li Dong; Furu Wei; Xianling Mao; Heyan Huang,zewen-chi; li-dong; furu-wei; xianling-mao; he-yan-huang,5,5
2020.aacl-main.44,2020,Building Location Embeddings from Physical Trajectories and Textual Representations,aacl,https://aclanthology.org/2020.aacl-main.44/,Laura Biester; Carmen Banea; Rada Mihalcea,laura-biester; carmen-banea; rada-mihalcea,3,5
2020.aacl-main.46,2020,A Survey of the State of Explainable AI for Natural Language Processing,aacl,https://aclanthology.org/2020.aacl-main.46/,Marina Danilevsky; Kun Qian; Ranit Aharonov; Yannis Katsis; Ban Kawas; Prithviraj Sen,marina-danilevsky; kun-qian; ranit-aharonov; yannis-katsis; ban-kawas; prithviraj-sen,6,5
2020.aacl-main.84,2020,Sina Mandarin Alphabetical Words:A Web-driven Code-mixing Lexical Resource,aacl,https://aclanthology.org/2020.aacl-main.84/,Rong Xiang; Mingyu Wan; Qi Su; Chu-Ren Huang; Qin Lu,rong-xiang; mingyu-wan; qi-su; chu-ren-huang; qin-lu,5,5
2020.aacl-demo.5,2020,NLP Tools for Predictive Maintenance Records in MaintNet,aacl,https://aclanthology.org/2020.aacl-demo.5/,Farhad Akhbardeh; Travis Desell; Marcos Zampieri,farhad-akhbardeh; travis-desell; marcos-zampieri,3,5
2020.aacl-main.4,2020,Graph Attention Network with Memory Fusion for Aspect-level Sentiment Analysis,aacl,https://aclanthology.org/2020.aacl-main.4/,Li Yuan; Jin Wang; Liang-Chih Yu; Xuejie Zhang,li-yuan; jin-wang; liang-chih-yu; xuejie-zhang,4,5
2020.aacl-main.6,2020,SentiRec: Sentiment Diversity-aware Neural News Recommendation,aacl,https://aclanthology.org/2020.aacl-main.6/,Chuhan Wu; Fangzhao Wu; Tao Qi; Yongfeng Huang,chuhan-wu; fangzhao-wu; tao-qi; yongfeng-huang,4,5
2020.aacl-srw.10,2020,Towards a Standardized Dataset on Indonesian Named Entity Recognition,aacl,https://aclanthology.org/2020.aacl-srw.10/,Siti Oryza Khairunnisa; Aizhan Imankulova; Mamoru Komachi,siti-oryza-khairunnisa; aizhan-imankulova; mamoru-komachi,3,5
2020.aacl-main.31,2020,"All-in-One: A Deep Attentive Multi-task Learning Framework for Humour, Sarcasm, Offensive, Motivation, and Sentiment on Memes",aacl,https://aclanthology.org/2020.aacl-main.31/,Dushyant Singh Chauhan; Dhanush S R; Asif Ekbal; Pushpak Bhattacharyya,dushyant-singh-chauhan; dhanush-s-r; asif-ekbal; pushpak-bhattacharyya,4,5
2020.aacl-main.53,2020,Mixed-Lingual Pre-training for Cross-lingual Summarization,aacl,https://aclanthology.org/2020.aacl-main.53/,Ruochen Xu; Chenguang Zhu; Yu Shi; Michael Zeng; Xuedong Huang,ruochen-xu; chenguang-zhu; yu-shi; michael-zeng; xuedong-huang,5,5
2020.aacl-main.51,2020,Systematically Exploring Redundancy Reduction in Summarizing Long Documents,aacl,https://aclanthology.org/2020.aacl-main.51/,Wen Xiao; Giuseppe Carenini,wen-xiao; giuseppe-carenini,2,5
2020.aacl-main.72,2020,Explaining Word Embeddings via Disentangled Representation,aacl,https://aclanthology.org/2020.aacl-main.72/,Keng-Te Liao; Cheng-Syuan Lee; Zhong-Yu Huang; Shou-de Lin,keng-te-liao; cheng-syuan-lee; zhong-yu-huang; shou-de-lin,4,5
2020.aacl-main.12,2020,Second-Order Neural Dependency Parsing with Message Passing and End-to-End Training,aacl,https://aclanthology.org/2020.aacl-main.12/,Xinyu Wang; Kewei Tu,xinyu-wang; kewei-tu,2,5
2020.aacl-main.86,2020,Happy Are Those Who Grade without Seeing: A Multi-Task Learning Approach to Grade Essays Using Gaze Behaviour,aacl,https://aclanthology.org/2020.aacl-main.86/,Sandeep Mathias; Rudra Murthy; Diptesh Kanojia; Abhijit Mishra; Pushpak Bhattacharyya,sandeep-mathias; rudra-murthy; diptesh-kanojia; abhijit-mishra; pushpak-bhattacharyya,5,5
2020.aacl-main.88,2020,Compressing Pre-trained Language Models by Matrix Decomposition,aacl,https://aclanthology.org/2020.aacl-main.88/,Matan Ben Noach; Yoav Goldberg,matan-ben-noach; yoav-goldberg,2,5
2020.aacl-main.13,2020,High-order Refining for End-to-end Chinese Semantic Role Labeling,aacl,https://aclanthology.org/2020.aacl-main.13/,Hao Fei; Yafeng Ren; Donghong Ji,hao-fei; yafeng-ren; donghong-ji,3,5
2020.aacl-main.73,2020,Multi-view Classification Model for Knowledge Graph Completion,aacl,https://aclanthology.org/2020.aacl-main.73/,Wenbin Jiang; Mengfei Guo; Yufeng Chen; Ying Li; Jinan Xu; Yajuan Lyu; Yong Zhu,wenbin-jiang; mengfei-guo; yufeng-chen; ying-li; jinan-xu; yajuan-lyu; yong-zhu,7,5
2020.aacl-main.54,2020,Point-of-Interest Oriented Question Answering with Joint Inference of Semantic Matching and Distance Correlation,aacl,https://aclanthology.org/2020.aacl-main.54/,Yifei Yuan; Jingbo Zhou; Wai Lam,yifei-yuan; jingbo-zhou; wai-lam,3,5
2020.aacl-srw.3,2020,Towards a Task-Agnostic Model of Difficulty Estimation for Supervised Learning Tasks,aacl,https://aclanthology.org/2020.aacl-srw.3/,Antonio Laverghetta Jr.; Jamshidbek Mirzakhalov; John Licato,antonio-laverghetta-jr; jamshidbek-mirzakhalov; john-licato,3,5
2020.aacl-demo.1,2020,AMesure: A Web Platform to Assist the Clear Writing of Administrative Texts,aacl,https://aclanthology.org/2020.aacl-demo.1/,Thomas François; Adeline Müller; Eva Rolin; Magali Norré,thomas-fran-ois; adeline-m-ller; eva-rolin; magali-norr,4,5
2020.aacl-main.27,2020,AMR Quality Rating with a Lightweight CNN,aacl,https://aclanthology.org/2020.aacl-main.27/,Juri Opitz,juri-opitz,1,5
2020.aacl-main.43,2020,Heads-up! Unsupervised Constituency Parsing via Self-Attention Heads,aacl,https://aclanthology.org/2020.aacl-main.43/,Bowen Li; Taeuk Kim; Reinald Kim Amplayo; Frank Keller,bowen-li; taeuk-kim; reinald-kim-amplayo; frank-keller,4,5
2020.aacl-main.63,2020,Improving Context Modeling in Neural Topic Segmentation,aacl,https://aclanthology.org/2020.aacl-main.63/,Linzi Xing; Brad Hackinen; Giuseppe Carenini; Francesco Trebbi,linzi-xing; brad-hackinen; giuseppe-carenini; francesco-trebbi,4,5
2020.aacl-srw.18,2020,Aspect Extraction Using Coreference Resolution and Unsupervised Filtering,aacl,https://aclanthology.org/2020.aacl-srw.18/,Deon Mai; Wei Emma Zhang,deon-mai; wei-emma-zhang,2,5
2020.aacl-main.25,2020,Towards a Better Understanding of Label Smoothing in Neural Machine Translation,aacl,https://aclanthology.org/2020.aacl-main.25/,Yingbo Gao; Weiyue Wang; Christian Herold; Zijian Yang; Hermann Ney,yingbo-gao; weiyue-wang; christian-herold; zijian-yang; hermann-ney,5,5
2020.aacl-main.41,2020,Predicting and Using Target Length in Neural Machine Translation,aacl,https://aclanthology.org/2020.aacl-main.41/,Zijian Yang; Yingbo Gao; Weiyue Wang; Hermann Ney,zijian-yang; yingbo-gao; weiyue-wang; hermann-ney,4,5
2020.aacl-srw.5,2020,Automatic Classification of Students on Twitter Using Simple Profile Information,aacl,https://aclanthology.org/2020.aacl-srw.5/,Lili-Michal Wilson; Christopher Wun,lili-michal-wilson; christopher-wun,2,5
2020.aacl-main.89,2020,You May Like This Hotel Because ...: Identifying Evidence for Explainable Recommendations,aacl,https://aclanthology.org/2020.aacl-main.89/,Shin Kanouchi; Masato Neishi; Yuta Hayashibe; Hiroki Ouchi; Naoaki Okazaki,shin-kanouchi; masato-neishi; yuta-hayashibe; hiroki-ouchi; naoaki-okazaki,5,5
2020.aacl-main.36,2020,A Systematic Characterization of Sampling Algorithms for Open-ended Language Generation,aacl,https://aclanthology.org/2020.aacl-main.36/,Moin Nadeem; Tianxing He; Kyunghyun Cho; James Glass,moin-nadeem; tianxing-he; kyunghyun-cho; james-glass,4,5
2020.aacl-main.85,2020,IndoNLU: Benchmark and Resources for Evaluating Indonesian Natural Language Understanding,aacl,https://aclanthology.org/2020.aacl-main.85/,Bryan Wilie; Karissa Vincentio; Genta Indra Winata; Samuel Cahyawijaya; Xiaohong Li; Zhi Yuan Lim; Sidik Soleman; Rahmad Mahendra; Pascale Fung; Syafri Bahar; Ayu Purwarianti,bryan-wilie; karissa-vincentio; genta-indra-winata; samuel-cahyawijaya; xiaohong-li; zhi-yuan-lim; sidik-soleman; rahmad-mahendra; pascale-fung; syafri-bahar; ayu-purwarianti,11,5
2020.aacl-main.14,2020,Exploiting WordNet Synset and Hypernym Representations for Answer Selection,aacl,https://aclanthology.org/2020.aacl-main.14/,Weikang Li; Yunfang Wu,weigang-li; yunfang-wu,2,5
2020.aacl-main.17,2020,An Empirical Study of Tokenization Strategies for Various Korean NLP Tasks,aacl,https://aclanthology.org/2020.aacl-main.17/,Kyubyong Park; Joohong Lee; Seongbo Jang; Dawoon Jung,kyubyong-park; joohong-lee; seongbo-jang; dawoon-jung,4,5
2020.aacl-main.7,2020,BCTH: A Novel Text Hashing Approach via Bayesian Clustering,aacl,https://aclanthology.org/2020.aacl-main.7/,Ying Wenjie; Yuquan Le; Hantao Xiong,ying-wenjie; yuquan-le; hantao-xiong,3,5
2020.aacl-main.23,2020,A General Framework for Adaptation of Neural Machine Translation to Simultaneous Translation,aacl,https://aclanthology.org/2020.aacl-main.23/,Yun Chen; Liangyou Li; Xin Jiang; Xiao Chen; Qun Liu,yun-chen; liangyou-li; xin-jiang; xiao-chen; qun-liu,5,5
2020.aacl-srw.4,2020,A Siamese CNN Architecture for Learning Chinese Sentence Similarity,aacl,https://aclanthology.org/2020.aacl-srw.4/,Haoxiang Shi; Cen Wang; Tetsuya Sakai,haoxiang-shi; cen-wang; tetsuya-sakai,3,5
2020.aacl-srw.7,2020,Hindi History Note Generation with Unsupervised Extractive Summarization,aacl,https://aclanthology.org/2020.aacl-srw.7/,Aayush Shah; Dhineshkumar Ramasubbu; Dhruv Mathew; Meet Chetan Gadoya,aayush-shah; dhineshkumar-ramasubbu; dhruv-mathew; meet-chetan-gadoya,4,5
2020.aacl-main.8,2020,Lightweight Text Classifier using Sinusoidal Positional Encoding,aacl,https://aclanthology.org/2020.aacl-main.8/,Byoung-Doo Oh; Yu-Seop Kim,byoung-doo-oh; yu-seop-kim,2,5
2020.aacl-main.30,2020,Modality-Transferable Emotion Embeddings for Low-Resource Multimodal Emotion Recognition,aacl,https://aclanthology.org/2020.aacl-main.30/,Wenliang Dai; Zihan Liu; Tiezheng Yu; Pascale Fung,wenliang-dai; zihan-liu; tiezheng-yu; pascale-fung,4,5
2020.aacl-main.74,2020,Knowledge-Enhanced Named Entity Disambiguation for Short Text,aacl,https://aclanthology.org/2020.aacl-main.74/,Zhifan Feng; Qi Wang; Wenbin Jiang; Yajuan Lyu; Yong Zhu,zhifan-feng; qi-wang; wenbin-jiang; yajuan-lyu; yong-zhu,5,5
2020.aacl-main.62,2020,Massively Multilingual Document Alignment with Cross-lingual Sentence-Mover’s Distance,aacl,https://aclanthology.org/2020.aacl-main.62/,Ahmed El-Kishky; Francisco Guzmán,ahmed-el-kishky; francisco-guzman,2,5
2020.aacl-main.11,2020,Investigating Learning Dynamics of BERT Fine-Tuning,aacl,https://aclanthology.org/2020.aacl-main.11/,Yaru Hao; Li Dong; Furu Wei; Ke Xu,yaru-hao; li-dong; furu-wei; ke-xu,4,5
2020.aacl-main.33,2020,Unsupervised Aspect-Level Sentiment Controllable Style Transfer,aacl,https://aclanthology.org/2020.aacl-main.33/,Mukuntha Narayanan Sundararaman; Zishan Ahmad; Asif Ekbal; Pushpak Bhattacharyya,mukuntha-narayanan-sundararaman; zishan-ahmad; asif-ekbal; pushpak-bhattacharyya,4,5
2020.aacl-main.26,2020,"Comparing Probabilistic, Distributional and Transformer-Based Models on Logical Metonymy Interpretation",aacl,https://aclanthology.org/2020.aacl-main.26/,Giulia Rambelli; Emmanuele Chersoni; Alessandro Lenci; Philippe Blache; Chu-Ren Huang,giulia-rambelli; emmanuele-chersoni; alessandro-lenci; philippe-blache; chu-ren-huang,5,5
2020.aacl-main.67,2020,Neural RST-based Evaluation of Discourse Coherence,aacl,https://aclanthology.org/2020.aacl-main.67/,Grigorii Guz; Peyman Bateni; Darius Muglich; Giuseppe Carenini,grigorii-guz; peyman-bateni; darius-muglich; giuseppe-carenini,4,5
2020.aacl-main.29,2020,Unsupervised KB-to-Text Generation with Auxiliary Triple Extraction using Dual Learning,aacl,https://aclanthology.org/2020.aacl-main.29/,Zihao Fu; Bei Shi; Lidong Bing; Wai Lam,zihao-fu; bei-shi; lidong-bing; wai-lam,4,5
2020.aacl-srw.8,2020,Unbiasing Review Ratings with Tendency Based Collaborative Filtering,aacl,https://aclanthology.org/2020.aacl-srw.8/,Pranshi Yadav; Priya Yadav; Pegah Nokhiz; Vivek Gupta,pranshi-yadav; priya-yadav; pegah-nokhiz; vivek-gupta,4,5
2020.aacl-srw.11,2020,Formal Sanskrit Syntax: A Specification for Programming Language,aacl,https://aclanthology.org/2020.aacl-srw.11/,K. Kabi Khanganba; Girish Jha,k-kabi-khanganba; girish-nath-jha,2,5
2020.aacl-demo.6,2020,Fairseq S2T: Fast Speech-to-Text Modeling with Fairseq,aacl,https://aclanthology.org/2020.aacl-demo.6/,Changhan Wang; Yun Tang; Xutai Ma; Anne Wu; Dmytro Okhonko; Juan Pino,changhan-wang; yun-tang; xutai-ma; anne-wu; dmytro-okhonko; juan-pino,6,5
2020.aacl-main.61,2020,Generating Sports News from Live Commentary: A Chinese Dataset for Sports Game Summarization,aacl,https://aclanthology.org/2020.aacl-main.61/,Kuan-Hao Huang; Chen Li; Kai-Wei Chang,kuan-hao-huang; chen-li; kai-wei-chang,3,5
2020.aacl-main.66,2020,Event Coreference Resolution with Non-Local Information,aacl,https://aclanthology.org/2020.aacl-main.66/,Jing Lu; Vincent Ng,jing-lu; vincent-ng,2,5
2020.aacl-main.39,2020,An Exploratory Study on Multilingual Quality Estimation,aacl,https://aclanthology.org/2020.aacl-main.39/,Shuo Sun; Marina Fomicheva; Frédéric Blain; Vishrav Chaudhary; Ahmed El-Kishky; Adithya Renduchintala; Francisco Guzmán; Lucia Specia,shuo-sun; marina-fomicheva; frederic-blain; vishrav-chaudhary; ahmed-el-kishky; adithya-renduchintala; francisco-guzman; lucia-specia,8,5
2020.aacl-main.48,2020,Multimodal Pretraining for Dense Video Captioning,aacl,https://aclanthology.org/2020.aacl-main.48/,Gabriel Huang; Bo Pang; Zhenhai Zhu; Clara Rivera; Radu Soricut,gabriel-huang; bo-pang; zhenhai-zhu; clara-rivera; radu-soricut,5,5
2020.aacl-main.35,2020,Intent Detection with WikiHow,aacl,https://aclanthology.org/2020.aacl-main.35/,Li Zhang; Qing Lyu; Chris Callison-Burch,li-zhang-upenn; qing-lyu; chris-callison-burch,3,5
2020.aacl-main.18,2020,BERT-Based Neural Collaborative Filtering and Fixed-Length Contiguous Tokens Explanation,aacl,https://aclanthology.org/2020.aacl-main.18/,Reinald Adrian Pugoy; Hung-Yu Kao,reinald-adrian-pugoy; hung-yu-kao,2,5
2020.aacl-main.64,2020,Contextualized End-to-End Neural Entity Linking,aacl,https://aclanthology.org/2020.aacl-main.64/,Haotian Chen; Xi Li; Andrej Zukov Gregoric; Sahil Wadhwa,haotian-chen; xi-li; andrej-zukov-gregoric; sahil-wadhwa,4,5
2020.aacl-main.34,2020,Energy-based Self-attentive Learning of Abstractive Communities for Spoken Language Understanding,aacl,https://aclanthology.org/2020.aacl-main.34/,Guokan Shang; Antoine Tixier; Michalis Vazirgiannis; Jean-Pierre Lorré,guokan-shang; antoine-tixier; michalis-vazirgiannis; jean-pierre-lorr,4,5
2020.aacl-main.76,2020,Robustness and Reliability of Gender Bias Assessment in Word Embeddings: The Role of Base Pairs,aacl,https://aclanthology.org/2020.aacl-main.76/,Haiyang Zhang; Alison Sneyd; Mark Stevenson,haiyang-zhang; alison-sneyd; mark-stevenson,3,5
2020.aacl-main.1,2020,Touch Editing: A Flexible One-Time Interaction Approach for Translation,aacl,https://aclanthology.org/2020.aacl-main.1/,Qian Wang; Jiajun Zhang; Lemao Liu; Guoping Huang; Chengqing Zong,qian-wang; jiajun-zhang; lemao-liu; guoping-huang; chengqing-zong,5,5
2020.aacl-main.42,2020,Grounded PCFG Induction with Images,aacl,https://aclanthology.org/2020.aacl-main.42/,Lifeng Jin; William Schuler,lifeng-jin; william-schuler,2,5
2020.aacl-srw.2,2020,Two-Headed Monster and Crossed Co-Attention Networks,aacl,https://aclanthology.org/2020.aacl-srw.2/,Yaoyiran Li; Jing Jiang,yaoyiran-li; jing-jiang,2,5
2020.aacl-main.65,2020,DAPPER: Learning Domain-Adapted Persona Representation Using Pretrained BERT and External Memory,aacl,https://aclanthology.org/2020.aacl-main.65/,Prashanth Vijayaraghavan; Eric Chu; Deb Roy,prashanth-vijayaraghavan; eric-chu; deb-roy,3,5
2020.aacl-main.77,2020,ExpanRL: Hierarchical Reinforcement Learning for Course Concept Expansion in MOOCs,aacl,https://aclanthology.org/2020.aacl-main.77/,Jifan Yu; Chenyu Wang; Gan Luo; Lei Hou; Juanzi Li; Jie Tang; Minlie Huang; Zhiyuan Liu,jifan-yu; chenyu-wang; gan-luo; lei-hou; juanzi-li; jie-tang; minlie-huang; zhiyuan-liu,8,5
2020.aacl-main.28,2020,Generating Commonsense Explanation by Extracting Bridge Concepts from Reasoning Paths,aacl,https://aclanthology.org/2020.aacl-main.28/,Haozhe Ji; Pei Ke; Shaohan Huang; Furu Wei; Minlie Huang,haozhe-ji; pei-ke; shaohan-huang; furu-wei; minlie-huang,5,5
2020.aacl-main.20,2020,Chinese Grammatical Correction Using BERT-based Pre-trained Model,aacl,https://aclanthology.org/2020.aacl-main.20/,Hongfei Wang; Michiki Kurosawa; Satoru Katsumata; Mamoru Komachi,hongfei-wang; michiki-kurosawa; satoru-katsumata; mamoru-komachi,4,5
2020.aacl-main.92,2020,Measuring What Counts: The Case of Rumour Stance Classification,aacl,https://aclanthology.org/2020.aacl-main.92/,Carolina Scarton; Diego Silva; Kalina Bontcheva,carolina-scarton; diego-silva; kalina-bontcheva,3,5
2020.aacl-srw.17,2020,Multi-task Learning for Automated Essay Scoring with Sentiment Analysis,aacl,https://aclanthology.org/2020.aacl-srw.17/,Panitan Muangkammuen; Fumiyo Fukumoto,panitan-muangkammuen; fumiyo-fukumoto,2,5
2020.aacl-main.10,2020,A Simple and Effective Usage of Word Clusters for CBOW Model,aacl,https://aclanthology.org/2020.aacl-main.10/,Yukun Feng; Chenlong Hu; Hidetaka Kamigaito; Hiroya Takamura; Manabu Okumura,yukun-feng; chenlong-hu; hidetaka-kamigaito; hiroya-takamura; manabu-okumura,5,5
2020.aacl-main.15,2020,A Simple Text-based Relevant Location Prediction Method using Knowledge Base,aacl,https://aclanthology.org/2020.aacl-main.15/,Mei Sasaki; Shumpei Okura; Shingo Ono,mei-sasaki; shumpei-okura; shingo-ono,3,5
2020.aacl-srw.21,2020,MRC Examples Answerable by BERT without a Question Are Less Effective in MRC Model Training,aacl,https://aclanthology.org/2020.aacl-srw.21/,Hongyu Li; Tengyang Chen; Shuting Bai; Takehito Utsuro; Yasuhide Kawada,hongyu-li; tengyang-chen; shuting-bai; takehito-utsuro; yasuhide-kawada,5,5
2020.aacl-demo.4,2020,metaCAT: A Metadata-based Task-oriented Chatbot Annotation Tool,aacl,https://aclanthology.org/2020.aacl-demo.4/,Ximing Liu; Wei Xue; Qi Su; Weiran Nie; Wei Peng,ximing-liu; wei-xue; qi-su; weiran-nie; wei-peng,5,5
2022.aacl-main.18,2022,Neural Text Sanitization with Explicit Measures of Privacy Risk,aacl,https://aclanthology.org/2022.aacl-main.18/,Anthi Papadopoulou; Yunhao Yu; Pierre Lison; Lilja Øvrelid,anthi-papadopoulou; yunhao-yu; pierre-lison; lilja-ovrelid,4,5
2022.aacl-main.41,2022,Dynamic Context Extraction for Citation Classification,aacl,https://aclanthology.org/2022.aacl-main.41/,Suchetha Nambanoor Kunnath; David Pride; Petr Knoth,suchetha-nambanoor-kunnath; david-pride; petr-knoth,3,5
2022.aacl-short.48,2022,Assessing Combinational Generalization of Language Models in Biased Scenarios,aacl,https://aclanthology.org/2022.aacl-short.48/,Yanbo Fang; Zuohui Fu; Xin Dong; Yongfeng Zhang; Gerard de Melo,yanbo-fang; zuohui-fu; xin-dong-rutgers; yongfeng-zhang; gerard-de-melo,5,5
2022.aacl-main.28,2022,Discourse Parsing Enhanced by Discourse Dependence Perception,aacl,https://aclanthology.org/2022.aacl-main.28/,Yuqing Xing; Longyin Zhang; Fang Kong; Guodong Zhou,yuqing-xing; longyin-zhang; fang-kong; guodong-zhou,4,5
2022.aacl-main.61,2022,A Prompt Array Keeps the Bias Away: Debiasing Vision-Language Models with Adversarial Learning,aacl,https://aclanthology.org/2022.aacl-main.61/,Hugo Berg; Siobhan Hall; Yash Bhalgat; Hannah Kirk; Aleksandar Shtedritski; Max Bain,hugo-berg; siobhan-hall; yash-bhalgat; hannah-kirk; aleksandar-shtedritski; max-bain,6,5
2022.aacl-main.15,2022,Cross-lingual Similarity of Multilingual Representations Revisited,aacl,https://aclanthology.org/2022.aacl-main.15/,Maksym Del; Mark Fishel,maksym-del; mark-fishel,2,5
2022.aacl-short.3,2022,Benchmarking the Covariate Shift Robustness of Open-world Intent Classification Approaches,aacl,https://aclanthology.org/2022.aacl-short.3/,Sopan Khosla; Rashmi Gangadharaiah,sopan-khosla; rashmi-gangadharaiah,2,5
2022.aacl-tutorials.3,2022,When Cantonese NLP Meets Pre-training: Progress and Challenges,aacl,https://aclanthology.org/2022.aacl-tutorials.3/,Rong Xiang; Hanzhuo Tan; Jing Li; Mingyu Wan; Kam-Fai Wong,rong-xiang; hanzhuo-tan; jing-li; mingyu-wan; kam-fai-wong,5,5
2022.aacl-short.20,2022,How Relevant is Selective Memory Population in Lifelong Language Learning?,aacl,https://aclanthology.org/2022.aacl-short.20/,Vladimir Araujo; Helena Balabin; Julio Hurtado; Alvaro Soto; Marie-Francine Moens,vladimir-araujo; helena-balabin; julio-hurtado; alvaro-soto; marie-francine-moens,5,5
2022.aacl-short.49,2022,Controllable Text Simplification with Deep Reinforcement Learning,aacl,https://aclanthology.org/2022.aacl-short.49/,Daiki Yanamoto; Tomoki Ikawa; Tomoyuki Kajiwara; Takashi Ninomiya; Satoru Uchida; Yuki Arase,daiki-yanamoto; tomoki-ikawa; tomoyuki-kajiwara; takashi-ninomiya; satoru-uchida; yuki-arase,6,5
2022.aacl-main.22,2022,CrowdChecked: Detecting Previously Fact-Checked Claims in Social Media,aacl,https://aclanthology.org/2022.aacl-main.22/,Momchil Hardalov; Anton Chernyavskiy; Ivan Koychev; Dmitry Ilvovsky; Preslav Nakov,momchil-hardalov; anton-chernyavskiy; ivan-koychev; dmitry-ilvovsky; preslav-nakov,5,5
2022.aacl-srw.12,2022,Dynamic Topic Modeling by Clustering Embeddings from Pretrained Language Models: A Research Proposal,aacl,https://aclanthology.org/2022.aacl-srw.12/,Anton Eklund; Mona Forsman; Frank Drewes,anton-eklund; mona-forsman; frank-drewes,3,5
2022.aacl-main.38,2022,SummVD : An efficient approach for unsupervised topic-based text summarization,aacl,https://aclanthology.org/2022.aacl-main.38/,Gabriel Shenouda; Aurélien Bossard; Oussama Ayoub; Christophe Rodrigues,gabriel-shenouda; aur-lien-bossard; oussama-ayoub; christophe-rodrigues,4,5
2022.aacl-short.29,2022,Improving Graph-Based Text Representations with Character and Word Level N-grams,aacl,https://aclanthology.org/2022.aacl-short.29/,Wenzhe Li; Nikolaos Aletras,wenzhe-li; nikolaos-aletras,2,5
2022.aacl-main.14,2022,This Patient Looks Like That Patient: Prototypical Networks for Interpretable Diagnosis Prediction from Clinical Text,aacl,https://aclanthology.org/2022.aacl-main.14/,Betty van Aken; Jens-Michalis Papaioannou; Marcel Naik; Georgios Eleftheriadis; Wolfgang Nejdl; Felix Gers; Alexander Loeser,betty-van-aken; jens-michalis-papaioannou; marcel-naik; georgios-eleftheriadis; wolfgang-nejdl; felix-gers; alexander-loeser,7,5
2022.aacl-short.22,2022,Multi-Type Conversational Question-Answer Generation with Closed-ended and Unanswerable Questions,aacl,https://aclanthology.org/2022.aacl-short.22/,Seonjeong Hwang; Yunsu Kim; Gary Geunbae Lee,seonjeong-hwang; yunsu-kim; gary-geunbae-lee,3,5
2022.aacl-short.24,2022,NGEP: A Graph-based Event Planning Framework for Story Generation,aacl,https://aclanthology.org/2022.aacl-short.24/,Chen Tang; Zhihao Zhang; Tyler Loakman; Chenghua Lin; Frank Guerin,chen-tang; zhihao-zhang; tyler-loakman; chenghua-lin; frank-guerin,5,5
